data;open;high;low;close;volume
20091009;8.6;8.61;8.53;8.56;4236400
20091013;8.6;8.66;8.55;8.61;2607800
20091014;8.7;8.77;8.64;8.77;3331200
20091015;8.74;8.84;8.59;8.6;5281000
20091016;8.59;8.64;8.5;8.58;3190000
20091019;8.61;8.7;8.56;8.66;2705800
20091020;8.56;8.6;8.47;8.56;2953200
20091021;8.53;8.66;8.5;8.5;3413000
20091022;8.58;8.78;8.52;8.74;3196800
20091023;8.84;8.93;8.56;8.59;3981400
20091026;8.62;8.66;8.49;8.63;4754800
20091027;8.69;8.7;8.49;8.54;2816700
20091028;8.49;8.55;7.96;8.48;4575100
20091029;8.58;8.65;8.37;8.54;2563800
20091030;8.41;8.44;7.61;7.67;12774400
20091103;7.68;7.68;7.26;7.55;5878600
20091104;7.79;7.81;7.51;7.58;5689500
20091105;7.55;7.64;7.43;7.44;4172300
20091106;7.51;7.58;7.29;7.4;6257700
20091109;7.54;7.66;7.46;7.55;3390800
20091109;7.57;7.73;7.46;7.72;4587900
20091109;7.76;7.8;7.51;7.55;4435100
20091109;7.54;7.59;7.38;7.4;3582900
20091109;7.42;7.59;7.41;7.51;2698200
20091109;7.6;7.62;7.53;7.58;2832800
20091109;7.62;7.73;7.6;7.68;3764100
20091109;7.73;7.77;7.61;7.61;2920000
20091109;7.55;7.55;7.41;7.45;4225900
20091109;7.55;7.64;7.5;7.55;2181500
20091109;7.55;7.58;7.44;7.52;2207600
20091109;7.58;7.6;7.45;7.47;2322000
20091109;7.44;7.45;7.37;7.41;2056400
20091109;7.34;7.55;7.26;7.54;1816000
20091109;7.54;7.57;7.45;7.46;3372400
20091109;7.52;7.54;7.47;7.48;3177500
20091109;7.5;7.51;7.44;7.46;3020100
20091109;7.49;7.51;7.38;7.41;3028100
20091109;7.41;7.49;7.35;7.35;1757800
20091109;7.42;7.47;7.36;7.47;1562100
20091109;7.43;7.63;7.39;7.59;3297500
20091109;7.63;7.71;7.47;7.47;3222600
20091109;7.55;7.63;7.5;7.6;2033800
20091109;7.74;8.3;7.74;8.28;12985200
20091109;8.33;8.41;7.98;8.02;7719600
20091109;8.01;8.17;7.86;8.17;2338900
20091109;8.19;8.2;8.01;8.01;1894200
20091109;7.96;8.17;7.9;8.11;2452600
20091109;8.11;8.15;7.96;7.96;1311600
20091109;8.04;8.14;8.0;8.02;3261800
20091109;8.19;8.19;7.98;8.04;2072900
20091109;8.16;8.28;8.08;8.25;1719100
20091109;8.29;8.37;8.22;8.28;1397200
20091109;8.3;8.35;8.23;8.24;1732300
20091109;8.27;8.39;8.24;8.33;4658000
20091109;8.39;8.65;8.35;8.65;2967000
20091109;8.67;8.7;8.4;8.44;2909200
20091109;8.37;8.47;8.28;8.41;4814900
20091109;8.39;8.4;8.3;8.3;1458700
20091109;8.35;8.36;8.18;8.28;3497500
20091109;8.35;8.36;8.23;8.36;1904000
20091109;8.32;8.65;8.32;8.64;3994100
20091109;8.67;8.72;8.45;8.55;4440700
20091109;8.51;8.58;8.41;8.47;2678900
20091109;8.42;8.62;8.41;8.55;2197300
20091109;8.57;8.6;8.41;8.41;777300
20091109;8.37;8.88;8.37;8.82;3864500
20091109;8.85;8.97;8.6;8.72;3431700
20091109;8.76;8.91;8.58;8.7;2736400
20091109;8.64;8.75;8.57;8.67;1884400
20091109;8.58;8.62;8.32;8.62;2335800
20091109;8.54;8.61;8.44;8.51;1388700
20091109;8.51;8.58;8.37;8.53;1558800
20091109;8.62;8.79;8.62;8.75;3222900
20091109;8.71;8.76;8.48;8.49;1576700
20091109;8.51;8.57;8.41;8.45;2845500
20091109;8.48;8.79;8.41;8.67;4098400
20091109;8.67;8.71;8.37;8.41;2952100
20091109;8.16;8.62;8.16;8.28;3824800
20091109;8.34;8.56;8.16;8.44;3126400
20091109;8.54;8.62;8.47;8.54;1455700
20091109;8.52;8.67;8.43;8.65;1446100
20091109;8.64;8.8;8.52;8.78;2667500
20091109;8.71;8.8;8.52;8.79;1859100
20091109;8.87;8.95;8.72;8.78;2233100
20091109;8.71;8.86;8.66;8.79;1285200
20091109;8.76;8.8;8.67;8.73;985200
20091109;8.76;8.89;8.7;8.81;1938700
20091109;8.76;8.91;8.68;8.7;1348700
20091109;8.74;8.82;8.68;8.68;1104600
20091109;8.56;8.67;8.51;8.56;1529400
20091109;8.56;8.66;8.54;8.59;1231200
20091109;8.69;8.79;8.57;8.62;1174100
20091109;8.63;8.79;8.63;8.75;1579800
20091109;8.78;8.94;8.73;8.78;2153500
20091109;8.8;8.87;8.68;8.76;1044900
20091109;8.87;8.94;8.72;8.75;1891700
20091109;8.74;8.85;8.72;8.75;978100
20091109;8.73;9.02;8.72;8.92;2512200
20091109;8.99;9.08;8.91;9.02;1869300
20091109;8.94;9.09;8.89;9.09;887000
